problem,kernel,kind,gpu,shape,m,n,k,dtype,repetition,samples,median_ms,median_tflops,mean_ms,std_ms,min_ms,max_ms,correct,max_abs,max_rel,tags
gemm,cuBLAS,reference,H100!,128x128x128,128,128,128,bf16,0,5,0.022495999932289124,0.18644665774468647,0.02545280009508133,0.006171060174071393,0.02131200022995472,0.03763199970126152,True,0.0,0.0,"reference,baseline"
gemm,hopper_triton_v0,triton,H100!,128x128x128,128,128,128,bf16,0,5,0.036288000643253326,0.115583772201564,0.039296000450849536,0.006119116504171721,0.034591998904943466,0.050944000482559204,True,0.0,0.0,"hopper,blackwell,triton,starter"
